TIMESTAMP,POWER
20131101 1:00,0.1672145142
20131101 2:00,0.0639984185
20131101 3:00,0.0390352611
20131101 4:00,0.0362316236
20131101 5:00,0.0648880342
20131101 6:00,0.1546763236
20131101 7:00,0.3209086661
20131101 8:00,0.2278404802
20131101 9:00,0.0728316739
20131101 10:00,0
20131101 11:00,0.0180349376
20131101 12:00,0.0205420366
20131101 13:00,0.0130656698
20131101 14:00,0.0342187556
20131101 15:00,0.0173789583
20131101 16:00,0
20131101 17:00,0
20131101 18:00,0
20131101 19:00,0
20131101 20:00,0.0317116567
20131101 21:00,0.2367006937
20131101 22:00,0.4658890766
20131101 23:00,0.4947791237
20131102 0:00,0.3481362999
20131102 1:00,0.310736494
20131102 2:00,0.4381582258
20131102 3:00,0.3749056468
20131102 4:00,0.74390748
20131102 5:00,0.7304464254
20131102 6:00,0.7415261853
20131102 7:00,0.6279069767
20131102 8:00,0.8033859315
20131102 9:00,0.779869523
20131102 10:00,0.6563297509
20131102 11:00,0.5778728299
20131102 12:00,0.5474461738
20131102 13:00,0.3630890335
20131102 14:00,0.4044786312
20131102 15:00,0.1991121814
20131102 16:00,0.4442327738
20131102 17:00,0.4257395493
20131102 18:00,0.5599097804
20131102 19:00,0.4383379462
20131102 20:00,0.4244455627
20131102 21:00,0.4632382014
20131102 22:00,0.1900183315
20131102 23:00,0.2386326875
20131103 0:00,0.2348495741
20131103 1:00,0.343616333
20131103 2:00,0.2343643291
20131103 3:00,0.198375328
20131103 4:00,0.2755652205
20131103 5:00,0.3010765249
20131103 6:00,0.3049315265
20131103 7:00,0.4674166996
20131103 8:00,0.5015905251
20131103 9:00,0.2943729557
20131103 10:00,0.2624546206
20131103 11:00,0.5978577334
20131103 12:00,0.8104489414
20131103 13:00,0.8875040437
20131103 14:00,0.9234301427
20131103 15:00,0.9805003415
20131103 16:00,0.9795927537
20131103 17:00,0.9621778513
20131103 18:00,0.9489144891
20131103 19:00,0.9724308975
20131103 20:00,0.8995183494
20131103 21:00,0.918505805
20131103 22:00,0.9440350814
20131103 23:00,0.9756478919
20131104 0:00,0.9551957155
20131104 1:00,0.9442507458
20131104 2:00,0.8641583696
20131104 3:00,0.6180583013
20131104 4:00,0.3185992596
20131104 5:00,0.2758617591
20131104 6:00,0.3012382732
20131104 7:00,0.3486574889
20131104 8:00,0.3177366018
20131104 9:00,0.3702868337
20131104 10:00,0.4654038316
20131104 11:00,0.7785306064
20131104 12:00,0.9688005463
20131104 13:00,0.9497861328
20131104 14:00,0.9911937026
20131104 15:00,0.9894773732
20131104 16:00,0.9745156536
20131104 17:00,0.9818931742
20131104 18:00,0.9919665001
20131104 19:00,0.9850652385
20131104 20:00,0.9667966644
20131104 21:00,0.9530390712
20131104 22:00,0.855747457
20131104 23:00,0.8045361418
20131105 0:00,0.8509489235
20131105 1:00,0.5765249272
20131105 2:00,0.4567233385
20131105 3:00,0.170554617
20131105 4:00,0.0822669926
20131105 5:00,0.0173340283
20131105 6:00,0
20131105 7:00,0
20131105 8:00,0
20131105 9:00,0.047562992
20131105 10:00,0.2064447719
20131105 11:00,0.2811095935
20131105 12:00,0.2988300205
20131105 13:00,0.3121472988
20131105 14:00,0.3459167535
20131105 15:00,0.327450487
20131105 16:00,0.2952805435
20131105 17:00,0.3583534021
20131105 18:00,0.5200747637
20131105 19:00,0.4587451925
20131105 20:00,0.533922217
20131105 21:00,0.5244419683
20131105 22:00,0.6737356673
20131105 23:00,0.6283383056
20131106 0:00,0.5214226663
20131106 1:00,0.338566191
20131106 2:00,0.1626289494
20131106 3:00,0.1163509579
20131106 4:00,0.0810448941
20131106 5:00,0.0553538694
20131106 6:00,0.0344973222
20131106 7:00,0.0664516013
20131106 8:00,0.0598378922
20131106 9:00,0.0231839258
20131106 10:00,0.0934545847
20131106 11:00,0.175101542
20131106 12:00,0.2102907875
20131106 13:00,0.2276607599
20131106 14:00,0.3956992919
20131106 15:00,0.6282125013
20131106 16:00,0.2068311707
20131106 17:00,0
20131106 18:00,0
20131106 19:00,0.084531469
20131106 20:00,0.4522213436
20131106 21:00,0.2792944179
20131106 22:00,0.1979799432
20131106 23:00,0.1951673197
20131107 0:00,0.0667661119
20131107 1:00,0.0842798605
20131107 2:00,0.1329930628
20131107 3:00,0.4436396966
20131107 4:00,0.5105765429
20131107 5:00,0.2379767082
20131107 6:00,0.1357877143
20131107 7:00,0.5908126954
20131107 8:00,0.5968243413
20131107 9:00,0.2494159088
20131107 10:00,0.7790697674
20131107 11:00,0.3249883182
20131107 12:00,0.2670105316
20131107 13:00,0.7750799756
20131107 14:00,0.6379892887
20131107 15:00,0.555156177
20131107 16:00,0.9194044067
20131107 17:00,0.408908738
20131107 18:00,0.6139966213
20131107 19:00,0.5776751375
20131107 20:00,0.7573775206
20131107 21:00,0.8989881744
20131107 22:00,0.8963283131
20131107 23:00,0.8695320082
20131108 0:00,0.7938517667
20131108 1:00,0.7934653679
20131108 2:00,0.4937816757
20131108 3:00,0.7238057582
20131108 4:00,0.8654613422
20131108 5:00,0.9380953237
20131108 6:00,0.8979817404
20131108 7:00,0.8597372488
20131108 8:00,0.8074386255
20131108 9:00,0.6904676324
20131108 10:00,0.6096833327
20131108 11:00,0.4093580389
20131108 12:00,0.4708313864
20131108 13:00,0.3148610762
20131108 14:00,0.4502534057
20131108 15:00,0.4148305237
20131108 16:00,0.3956004457
20131108 17:00,0.4249757378
20131108 18:00,0.3237302757
20131108 19:00,0.3869379246
20131108 20:00,0.4374123863
20131108 21:00,0.3070252687
20131108 22:00,0.0970130477
20131108 23:00,0.0986125589
20131109 0:00,0.2621131519
20131109 1:00,0.208520542
20131109 2:00,0.1631052083
20131109 3:00,0.1714082887
20131109 4:00,0.2570450379
20131109 5:00,0.2810197333
20131109 6:00,0.4018996442
20131109 7:00,0.517199238
20131109 8:00,0.4896391215
20131109 9:00,0.6229466949
20131109 10:00,0.4594281298
20131109 11:00,0.4991373423
20131109 12:00,0.5941914381
20131109 13:00,0.6499586643
20131109 14:00,0.6075626325
20131109 15:00,0.5763092628
20131109 16:00,0.4884978973
20131109 17:00,0.5048794076
20131109 18:00,0.6121904317
20131109 19:00,0.6018115812
20131109 20:00,0.5768663959
20131109 21:00,0.5462959635
20131109 22:00,0.4894504152
20131109 23:00,0.7480949642
20131110 0:00,0.6718126595
20131110 1:00,0.4142913626
20131110 2:00,0.2836706085
20131110 3:00,0.254070666
20131110 4:00,0.2083767658
20131110 5:00,0.2404298911
20131110 6:00,0.2601542001
20131110 7:00,0.2975180619
20131110 8:00,0.3994913914
20131110 9:00,0.3553700442
20131110 10:00,0.3070072966
20131110 11:00,0.2963139355
20131110 12:00,0.4905377233
20131110 13:00,0.6860824557
20131110 14:00,0.8181050286
20131110 15:00,0.7023920779
20131110 16:00,0.727247403
20131110 17:00,0.7258186262
20131110 18:00,0.5666942238
20131110 19:00,0.381573272
20131110 20:00,0.2187646023
20131110 21:00,0.1720912261
20131110 22:00,0.1600948923
20131110 23:00,0.2033266238
20131111 0:00,0.1784083965
20131111 1:00,0.1473437332
20131111 2:00,0.2032367636
20131111 3:00,0.2177671543
20131111 4:00,0.2153768736
20131111 5:00,0.2779105712
20131111 6:00,0.2713597642
20131111 7:00,0.2160328529
20131111 8:00,0.1756946192
20131111 9:00,0.6612181446
20131111 10:00,0.7544480788
20131111 11:00,0.5010423781
20131111 12:00,0.4029779663
20131111 13:00,0.4178947558
20131111 14:00,0.2787642428
20131111 15:00,0.235334819
20131111 16:00,0.1279519068
20131111 17:00,0.0141260199
20131111 18:00,0.0221685058
20131111 19:00,0.0663976852
20131111 20:00,0.0101991302
20131111 21:00,0
20131111 22:00,0
20131111 23:00,0
20131112 0:00,0.0592807591
20131112 1:00,0.1178606089
20131112 2:00,0.1094946264
20131112 3:00,0.1690539521
20131112 4:00,0.2179109306
20131112 5:00,0.2241022968
20131112 6:00,0.3003846016
20131112 7:00,0.4162143704
20131112 8:00,0.5375885123
20131112 9:00,0.7322616009
20131112 10:00,0.5619855505
20131112 11:00,0.4027443298
20131112 12:00,0.329966572
20131112 13:00,0.4659969088
20131112 14:00,0.6294615578
20131112 15:00,0.5172531541
20131112 16:00,0.3796322922
20131112 17:00,0.3052909673
20131112 18:00,0.2122048093
20131112 19:00,0.1368390784
20131112 20:00,0.1046421768
20131112 21:00,0.0375435822
20131112 22:00,0.005589303
20131112 23:00,0
20131113 0:00,0
20131113 1:00,0
20131113 2:00,0
20131113 3:00,0
20131113 4:00,0
20131113 5:00,0.0030013299
20131113 6:00,0.032888825
20131113 7:00,0.1251392833
20131113 8:00,0.3067646742
20131113 9:00,0.5067305273
20131113 10:00,0.3263541929
20131113 11:00,0.2927015564
20131113 12:00,0.4715143237
20131113 13:00,0.5456849143
20131113 14:00,0.2533338126
20131113 15:00,0.2103896337
20131113 16:00,0.200891413
20131113 17:00,0.0949193056
20131113 18:00,0.1490510765
20131113 19:00,0.2485352791
20131113 20:00,0.505580317
20131113 21:00,0.5780166062
20131113 22:00,0.4036878617
20131113 23:00,0.3273606269
20131114 0:00,0.2706408828
20131114 1:00,0.0523615255
20131114 2:00,0
20131114 3:00,0.0160310557
20131114 4:00,0.2534146867
20131114 5:00,0.494455627
20131114 6:00,0.5701089105
20131114 7:00,0.3341900004
20131114 8:00,0.286429316
20131114 9:00,0.1598342978
20131114 10:00,0.0549944287
20131114 11:00,0.1760810179
20131114 12:00,0.3175299234
20131114 13:00,0.3129740124
20131114 14:00,0.2979493907
20131114 15:00,0.3074655836
20131114 16:00,0.3968854462
20131114 17:00,0.3170177204
20131114 18:00,0.3328600697
20131114 19:00,0.2679091334
20131114 20:00,0.3001689371
20131114 21:00,0.3922756191
20131114 22:00,0.3401028
20131114 23:00,0.3098648503
20131115 0:00,0.2113601236
20131115 1:00,0.1794148305
20131115 2:00,0.2077297725
20131115 3:00,0.4097713957
20131115 4:00,0.3699992811
20131115 5:00,0.2833650839
20131115 6:00,0.1108964451
20131115 7:00,0.0108281514
20131115 8:00,0.0300132993
20131115 9:00,0.3333453147
20131115 10:00,0.2647101111
20131115 11:00,0.2264656195
20131115 12:00,0.3182488049
20131115 13:00,0.5424140038
20131115 14:00,0.780884943
20131115 15:00,0.8002408253
20131115 16:00,0.9242748284
20131115 17:00,0.9380324216
20131115 18:00,0.9325150066
20131115 19:00,0.928156788
20131115 20:00,0.9028611481
20131115 21:00,0.8612289278
20131115 22:00,0.7805165163
20131115 23:00,0.7708026311
20131116 0:00,0.6288235506
20131116 1:00,0.3293016067
20131116 2:00,0.0889705618
20131116 3:00,0.0096509831
20131116 4:00,0.0232198699
20131116 5:00,0.0621203407
20131116 6:00,0.0735146113
20131116 7:00,0.1114176342
20131116 8:00,0.2063099817
20131116 9:00,0.3317817476
20131116 10:00,0.4620700191
20131116 11:00,0.6368750225
20131116 12:00,0.5348477769
20131116 13:00,0.5442651235
20131116 14:00,0.417023112
20131116 15:00,0.3971909708
20131116 16:00,0.4335753567
20131116 17:00,0.3875669458
20131116 18:00,0.330981992
20131116 19:00,0.3292207325
20131116 20:00,0.2718360231
20131116 21:00,0.2112612775
20131116 22:00,0.1314923978
20131116 23:00,0.1465709356
20131117 0:00,0.1578394019
20131117 1:00,0.0325473563
20131117 2:00,0.0081503181
20131117 3:00,0.0026778333
20131117 4:00,0.001509651
20131117 5:00,0
20131117 6:00,0
20131117 7:00,0
20131117 8:00,0
20131117 9:00,0.0139552856
20131117 10:00,0.1659537759
20131117 11:00,0.1355720499
20131117 12:00,0.1329121886
20131117 13:00,0.1246270803
20131117 14:00,0.180169656
20131117 15:00,0.1810143417
20131117 16:00,0.1822454261
20131117 17:00,0.1660346501
20131117 18:00,0.1501653427
20131117 19:00,0.1606699975
20131117 20:00,0.1070684016
20131117 21:00,0.0637378239
20131117 22:00,0.0483717336
20131117 23:00,0.0294381942
20131118 0:00,0.0518313504
20131118 1:00,0.0366270084
20131118 2:00,0.0479673628
20131118 3:00,0.0505643219
20131118 4:00,0.0300222853
20131118 5:00,0.0359620431
20131118 6:00,0.0275960605
20131118 7:00,0.0192031199
20131118 8:00,0.0613655153
20131118 9:00,0.0636120197
20131118 10:00,0.1115164804
20131118 11:00,0.0231659538
20131118 12:00,0
20131118 13:00,0
20131118 14:00,0
20131118 15:00,0.0306333345
20131118 16:00,0.176629165
20131118 17:00,0.2808400129
20131118 18:00,0.116377916
20131118 19:00,0.0425847381
20131118 20:00,0.1990942094
20131118 21:00,0.3868750225
20131118 22:00,0.4025376514
20131118 23:00,0.369927393
20131119 0:00,0.3566730168
20131119 1:00,0.4642446353
20131119 2:00,0.4712896733
20131119 3:00,0.2208224003
20131119 4:00,0.0612846411
20131119 5:00,0.0687250638
20131119 6:00,0.0795442292
20131119 7:00,0.1252740735
20131119 8:00,0.1010567557
20131119 9:00,0.0689047842
20131119 10:00,0.0467003343
20131119 11:00,0.084504511
20131119 12:00,0.434204378
20131119 13:00,0.7315966356
20131119 14:00,0.8724344919
20131119 15:00,0.8068365623
20131119 16:00,0.8921228568
20131119 17:00,0.890676108
20131119 18:00,0.6319506847
20131119 19:00,0.1293357536
20131119 20:00,0.1368390784
20131119 21:00,0.4332338881
20131119 22:00,0.6803673484
20131119 23:00,0.259615039
20131120 0:00,0.1086409547
20131120 1:00,0.0405718702
20131120 2:00,0.1299647748
20131120 3:00,0.2308957262
20131120 4:00,0.1718486036
20131120 5:00,0.105792387
20131120 6:00,0.0642410409
20131120 7:00,0.0743503109
20131120 8:00,0.2141637612
20131120 9:00,0.7170123288
20131120 10:00,0.7180816649
20131120 11:00,0.5187807771
20131120 12:00,0.3574098702
20131120 13:00,0.3792548794
20131120 14:00,0.5231300097
20131120 15:00,0.4351658819
20131120 16:00,0.3025142878
20131120 17:00,0.2700747637
20131120 18:00,0.197863125
20131120 19:00,0.1715251069
20131120 20:00,0.3460245857
20131120 21:00,0.518223644
20131120 22:00,0.3592070738
20131120 23:00,0.3186262176
20131121 0:00,0.1429945006
20131121 1:00,0.0199849035
20131121 2:00,0.0006110492
20131121 3:00,0.0036752813
20131121 4:00,0.0266165846
20131121 5:00,0.055138205
20131121 6:00,0.1768987456
20131121 7:00,0.3066119119
20131121 8:00,0.3375058409
20131121 9:00,0.4525897703
20131121 10:00,0.5525771899
20131121 11:00,0.4884080371
20131121 12:00,0.5676197836
20131121 13:00,0.7526239172
20131121 14:00,0.481282125
20131121 15:00,0.3574368283
20131121 16:00,0.2254501995
20131121 17:00,0.2267801301
20131121 18:00,0.1675622731
20131121 19:00,0.1784982567
20131121 20:00,0.1952751519
20131121 21:00,0.2085924302
20131121 22:00,0.0918730455
20131121 23:00,0.2470346141
20131122 0:00,0.2575123108
20131122 1:00,0.1587200316
20131122 2:00,0.1141134395
20131122 3:00,0.1368211064
20131122 4:00,0.1755418569
20131122 5:00,0.3116890119
20131122 6:00,0.3526922109
20131122 7:00,0.3738542827
20131122 8:00,0.489387513
20131122 9:00,0.5656518457
20131122 10:00,0.6047859531
20131122 11:00,0.6753441645
20131122 12:00,0.57085475
20131122 13:00,0.3257880738
20131122 14:00,0.371437044
20131122 15:00,0.3402106323
20131122 16:00,0.3825347759
20131122 17:00,0.3900201287
20131122 18:00,0.4252543043
20131122 19:00,0.3798030265
20131122 20:00,0.387153589
20131122 21:00,0.2563351425
20131122 22:00,0.2141997053
20131122 23:00,0.268241616
20131123 0:00,0.1621077603
20131123 1:00,0.2016282664
20131123 2:00,0.1498777902
20131123 3:00,0.1257952626
20131123 4:00,0.125013479
20131123 5:00,0.0766866755
20131123 6:00,0.08197944
20131123 7:00,0.1372793933
20131123 8:00,0.3225980375
20131123 9:00,0.2994410697
20131123 10:00,0.4333057762
20131123 11:00,0.4747852342
20131123 12:00,0.7298353762
20131123 13:00,0.5920168218
20131123 14:00,0.4956417814
20131123 15:00,0.5748714999
20131123 16:00,0.5274432982
20131123 17:00,0.3585241364
20131123 18:00,0.396247439
20131123 19:00,0.4985442651
20131123 20:00,0.5208924913
20131123 21:00,0.5405538981
20131123 22:00,0.3646885446
20131123 23:00,0.2506919234
20131124 0:00,0.0651666008
20131124 1:00,0.0066496531
20131124 2:00,0
20131124 3:00,0.0002336365
20131124 4:00,5.39161065382265E-05
20131124 5:00,0.0083480105
20131124 6:00,0.0053017505
20131124 7:00,0.0034775889
20131124 8:00,0.0055084289
20131124 9:00,0.0324754682
20131124 10:00,0.1600409762
20131124 11:00,0.1778422774
20131124 12:00,0.2096527803
20131124 13:00,0.3152384889
20131124 14:00,0.3428615075
20131124 15:00,0.246432551
20131124 16:00,0.2655727688
20131124 17:00,0.313764782
20131124 18:00,0.3303260127
20131124 19:00,0.2702814421
20131124 20:00,0.3469950757
20131124 21:00,0.4346896229
20131124 22:00,0.2791506416
20131124 23:00,0.1749038496
20131125 0:00,0.1734750728
20131125 1:00,0.0710164983
20131125 2:00,0
20131125 3:00,0
20131125 4:00,0
20131125 5:00,0
20131125 6:00,0
20131125 7:00,0
20131125 8:00,0
20131125 9:00,0.0371481974
20131125 10:00,0.0059667158
20131125 11:00,0.0071528701
20131125 12:00,0.086014162
20131125 13:00,0.2297904461
20131125 14:00,0.4850832105
20131125 15:00,0.7674328744
20131125 16:00,0.8558912332
20131125 17:00,0.8926710039
20131125 18:00,0.9312569642
20131125 19:00,0.9054491212
20131125 20:00,0.8605549765
20131125 21:00,0.7928812767
20131125 22:00,0.3500593077
20131125 23:00,0.0558121563
20131126 0:00,0.0682847489
20131126 1:00,0.0108910535
20131126 2:00,0
20131126 3:00,0
20131126 4:00,0
20131126 5:00,0
20131126 6:00,0
20131126 7:00,0
20131126 8:00,0
20131126 9:00,0
20131126 10:00,0.0183314762
20131126 11:00,0.1207361346
20131126 12:00,0.3575806046
20131126 13:00,0.5057510514
20131126 14:00,0.7202113511
20131126 15:00,0.8880342188
20131126 16:00,0.8766848783
20131126 17:00,0.9221900722
20131126 18:00,0.9570468351
20131126 19:00,0.9289835017
20131126 20:00,0.8996351677
20131126 21:00,0.8150767406
20131126 22:00,0.8233528629
20131126 23:00,0.749487797
20131127 0:00,0.7463516768
20131127 1:00,0.6690539521
20131127 2:00,0.6048398692
20131127 3:00,0.4072103806
20131127 4:00,0.4931436685
20131127 5:00,0.4844092592
20131127 6:00,0.4425793465
20131127 7:00,0.4373944143
20131127 8:00,0.404370799
20131127 9:00,0.272761583
20131127 10:00,0.1355181338
20131127 11:00,0.408414507
20131127 12:00,0.3437960533
20131127 13:00,0.3116261098
20131127 14:00,0.3269742281
20131127 15:00,0.1200801553
20131127 16:00,0
20131127 17:00,0
20131127 18:00,0
20131127 19:00,0.0409582689
20131127 20:00,0.059226843
20131127 21:00,0
20131127 22:00,0.0539700226
20131127 23:00,0.1645609432
20131128 0:00,0.2458754178
20131128 1:00,0.4418424931
20131128 2:00,0.7313629992
20131128 3:00,0.5002605945
20131128 4:00,0.1967937889
20131128 5:00,0.3489090974
20131128 6:00,0.5483537615
20131128 7:00,0.5606646059
20131128 8:00,0.4798803062
20131128 9:00,0.3145825096
20131128 10:00,0.1713813306
20131128 11:00,0.1548919881
20131128 12:00,0.1370637288
20131128 13:00,0.3135131735
20131128 14:00,0.7319650624
20131128 15:00,0.6767549693
20131128 16:00,0.9299180475
20131128 17:00,0.9627349844
20131128 18:00,0.9689083786
20131128 19:00,0.971649114
20131128 20:00,0.9610725711
20131128 21:00,0.9672100212
20131128 22:00,0.9585385141
20131128 23:00,0.9324341325
20131129 0:00,0.8961036627
20131129 1:00,0.8750853672
20131129 2:00,0.6945562704
20131129 3:00,0.4120538442
20131129 4:00,0.3225710794
20131129 5:00,0.3727220445
20131129 6:00,0.3650929154
20131129 7:00,0.3605010604
20131129 8:00,0.3621994177
20131129 9:00,0.4592843535
20131129 10:00,0.6079580173
20131129 11:00,0.6788487114
20131129 12:00,0.6757934654
20131129 13:00,0.6970184393
20131129 14:00,0.6334783078
20131129 15:00,0.7508626577
20131129 16:00,0.8659555731
20131129 17:00,0.8666385105
20131129 18:00,0.8263721649
20131129 19:00,0.9387333309
20131129 20:00,0.9623485856
20131129 21:00,0.934195392
20131129 22:00,0.9302235721
20131129 23:00,0.9487886848
20131130 0:00,0.9222170303
20131130 1:00,0.8913051292
20131130 2:00,0.8946569138
20131130 3:00,0.7592735703
20131130 4:00,0.4359925955
20131130 5:00,0.4001923008
20131130 6:00,0.3661083354
20131130 7:00,0.4509633011
20131130 8:00,0.5800923763
20131130 9:00,0.6914471083
20131130 10:00,0.5750961504
20131130 11:00,0.5097498293
20131130 12:00,0.6541820927
20131130 13:00,0.8853743575
20131130 14:00,0.9720444988
20131130 15:00,0.9668685525
20131130 16:00,0.9677671543
20131130 17:00,0.9487527407
20131130 18:00,0.9691689731
20131130 19:00,0.9386344847
20131130 20:00,0.9633280615
20131130 21:00,0.9488336149
20131130 22:00,0.9259911578
20131130 23:00,0.7738399051
20131201 0:00,0.1527353438
